name__text,description__text,id,url,Start date,Start time,End date,End time,summary,logo_id,organizer_id,venue_id,category_id,resource_uri,logo__url
Spacecraft writing workshop for kids,"Join the 100 Story Building team as they recruit cadets to explore a new region of space. Name your own planet, plan the mission and explore new flora and fauna. Suitable for ages 7-9. Free event, bookings essential.",56953897641,https://www.eventbrite.com.au/e/spacecraft-writing-workshop-for-kids-tickets-56953897641?aff=ebapi,6/19/2019,4:00 PM,6/19/2019,5:30 PM,"Join the 100 Story Building team as they recruit cadets to explore a new region of space. Name your own planet, plan the mission and explore",61224762,3074435448,18672231,119,https://www.eventbriteapi.com/v3/events/56953897641/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61224762%2F49100826570%2F1%2Foriginal.20190426-031542?h=200&w=450&auto=compress&rect=0%2C10%2C842%2C421&s=8f590128907934021e414e68a7ab4da8
Cryptic crossword workshop,"Meet Jenny McNeice - author of Cryptic code-breaker: the universal guide to cryptic crosswords. Jenny will take you through her step-by-step instructions and worksheets, The focus is on understanding cryptic language and the different types of cryptic clues rather than demanding a vast general knowledge or vocabulary. Jenny will then host a follow up cryptic crossword workshop.",59865264618,https://www.eventbrite.com.au/e/cryptic-crossword-workshop-tickets-59865264618?aff=ebapi,6/18/2019,2:00 PM,6/18/2019,3:30 PM,Meet Jenny McNeice - author of Cryptic code-breaker: the universal guide to cryptic crosswords. Jenny will take you through her step-by-step,59668136,3074435448,30795112,119,https://www.eventbriteapi.com/v3/events/59865264618/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F59668136%2F49100826570%2F1%2Foriginal.20190403-235223?h=200&w=450&auto=compress&rect=0%2C84%2C1000%2C500&s=b9b01c55816b3a9960349726198d7be8
DIY Beeswax Food Wrap Workshop,"Tired of single-use plastics? Join us for a fun, hands-on workshop and learn to make your own beeswax food wraps! Beeswax wraps are a beautiful and environmentally friendly alternative to using cling wrap.ÿIn this workshop you willÿlearn how to make your ownÿbeeswax fabric wraps for covering dishes, wrapping sandwiches and keeping food fresh and plastic free! Materials will be provided for participants to make their own wrap, but if you would like to bring your own custom fabric (preferably made from cotton or natural fibres) please bring this along. This workshop will be held at Maidstone Community Centre. Session 1: 10am - 10.45am Session 2: 11am - 11.45am Tickets and materials are limited, so if you can no longer attend please ensure that you let us know so that we can allocate your ticket to our waiting list.",60799096735,https://www.eventbrite.com.au/e/diy-beeswax-food-wrap-workshop-tickets-60799096735?aff=ebapi,6/18/2019,10:00 AM,6/18/2019,11:00 AM,"Tired of single-use plastics? Join us for a fun, hands-on workshop and learn to make your own beeswax food wraps! Beeswax wraps are a beauti",61087017,5806045802,31708335,119,https://www.eventbriteapi.com/v3/events/60799096735/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61087017%2F84422161198%2F1%2Foriginal.jpg?h=200&w=450&auto=compress&rect=0%2C87%2C540%2C270&s=d73230552113e3aad13a576daf0b49a1
Fairy tales: ancient to modern,Join us for a discussion of the history of fairy tales with readings from our children?s librarians. We will uncover how fairy tales spread and changed and how they have also stayed the same. Come on the journey of some of the most enduring fairy tales from their ancient roots to recent retellings. This event is for adults and young adults aged 16+,59865060006,https://www.eventbrite.com.au/e/fairy-tales-ancient-to-modern-tickets-59865060006?aff=ebapi,6/17/2019,7:00 PM,6/17/2019,8:30 PM,Join us for a discussion of the history of fairy tales with readings from our children?s librarians. We will uncover how fairy tales spread,60521628,3074435448,31850973,119,https://www.eventbriteapi.com/v3/events/59865060006/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F60521628%2F49100826570%2F1%2Foriginal.20190417-063951?h=200&w=450&auto=compress&rect=0%2C10%2C842%2C421&s=80e3c7269210a5883b68243a37afa71c
"Jells Park PhotoWalk ::See, Shoot, Share","A photo treasure hunt,ÿin a hunter-gather style, ?Hunt? ?Gather?, ?Share? in more modern instagram-ish context ?See?, ?Shoot?, ?Share?. The important first step, is seeing, before you press the shutter button. Choose an envelope which will contain a random set of #HashTags. You should try to include at least one these subjects in some of your photos. Better still try to get two topics in a single photo or even better three in a single photo. ?Beauty can be seen in all things, seeing and composing the beauty is what separates the snapshot from the photograph.? ? Matt Hardy",57070606721,https://www.eventbrite.com.au/e/jells-park-photowalk-see-shoot-share-tickets-57070606721?aff=ebapi,6/16/2019,2:00 PM,6/16/2019,3:30 PM,"A photo treasure hunt,ÿin a hunter-gather style, ?Hunt? ?Gather?, ?Share? in more modern instagram-ish context ?See?, ?Shoot?, ?Share?. The",57438071,14790424277,20656558,119,https://www.eventbriteapi.com/v3/events/57070606721/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F57438071%2F195568253544%2F1%2Foriginal.20190226-060226?h=200&w=450&auto=compress&rect=0%2C19%2C2400%2C1200&s=ee20eea824b93abf67d3cefb6bd612ea
A timeline of the medieval world in books,Join us for a discussion of the history of fairy tales with readings from our children?s librarians. We will uncover how fairy tales spread and changed and how they have also stayed the same. Come on the journey of some of the most enduring fairy tales from their ancient roots to recent retellings. This event is for adults and young adults aged 16+,59864875454,https://www.eventbrite.com.au/e/a-timeline-of-the-medieval-world-in-books-tickets-59864875454?aff=ebapi,6/13/2019,7:00 PM,6/13/2019,8:00 PM,Join us for a discussion of the history of fairy tales with readings from our children?s librarians. We will uncover how fairy tales spread,61469530,3074435448,31328682,119,https://www.eventbriteapi.com/v3/events/59864875454/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61469530%2F49100826570%2F1%2Foriginal.20190430-230526?h=200&w=450&auto=compress&rect=0%2C153%2C800%2C400&s=028f12f044e68ea585771a4cfab16614
Lego Squad at East Melbourne Library,"Calling Lego enthusiasts! If you're 7?10 years and love Lego, show off your skills in our weekly Lego Squad. On the first Thursday of each month you will be provided a Lego challenge that you will continue to work on for the rest of the month. We have the Lego, you bring the skill.  The weekly Lego Squad operates in school term only.  Thursdays, 4pm to 5pm  For more information contact, Jeanette at East Melbourne Library, 9658 9600.",54832438299,https://www.eventbrite.com.au/e/lego-squad-at-east-melbourne-library-tickets-54832438299?aff=ebapi,5/9/2019,4:00 PM,5/9/2019,5:00 PM,"Calling Lego enthusiasts! If you're 7?10 years and love Lego, show off your skills in our weekly Lego Squad. On the first Thursday of each m",38657075,6499765081,6996123,119,https://www.eventbriteapi.com/v3/events/54832438299/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F38657075%2F101480782485%2F1%2Foriginal.jpg?h=200&w=450&auto=compress&s=0e158cf47a17553a7e9867d3aa8d2053
Crafternoons For Kids - Crocodile Family,Cut and fold your own little family of crocs!Children must be supervised by a parent or guardian at all times.ÿ Suitable for children aged 5-12 years.ÿ Bookings Essential! Darebin Libraries uses Eventbrite for all event bookings. When booking with Eventbrite individuals will be required to provide their name and contact details. Eventbrite?s privacy policy can be found at the Privacy link located at the bottom of this page. Individuals may choose to book directly with Darebin Libraries by contacting the library on telephone 1300 655 355.,59361365442,https://www.eventbrite.com.au/e/crafternoons-for-kids-crocodile-family-tickets-59361365442?aff=ebapi,6/13/2019,4:00 PM,6/13/2019,5:00 PM,Cut and fold your own little family of crocs!Children must be supervised by a parent or guardian at all times.ÿ Suitable for children aged 5,59108560,2046839277,31394973,119,https://www.eventbriteapi.com/v3/events/59361365442/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F59108560%2F29101596107%2F1%2Foriginal.20190325-234442?h=200&w=450&auto=compress&rect=0%2C0%2C2160%2C1080&s=f91603e1ddd62d8a37c2b5a23aab0016
A Perilous Quest comic workshop for kids,"Join the 100 Story Building team to create a comic starring your own heroes and villains, set on your own evil island. Suitable for ages 7-9. Bookings essential.",58404043065,https://www.eventbrite.com.au/e/a-perilous-quest-comic-workshop-for-kids-tickets-58404043065?aff=ebapi,6/13/2019,4:00 PM,6/13/2019,5:30 PM,"Join the 100 Story Building team to create a comic starring your own heroes and villains, set on your own evil island. Suitable for ages 7-9",61224697,3074435448,30634201,119,https://www.eventbriteapi.com/v3/events/58404043065/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61224697%2F49100826570%2F1%2Foriginal.20190426-031352?h=200&w=450&auto=compress&rect=0%2C10%2C842%2C421&s=c84a00fe9bdaa9ce50093a70b08b423c
Yarnbombing Craft Session,"Enjoy the company of other like-minded crafty folk as you begin work on a knitted or crocheted piece for our NAIDOC Week yarnbombing installation at Preston Library. Wool supplied, bring your own needles!    Darebin Libraries uses Eventbrite for all event bookings. When booking with Eventbrite individuals will be required to provide their name and contact details. Eventbrite?s privacy policy can be found at the Privacy link located at the bottom of this page. Individuals may choose to book directly with Darebin Libraries by contacting the library on 1300 655 355.",61011615384,https://www.eventbrite.com.au/e/yarnbombing-craft-session-tickets-61011615384?aff=ebapi,6/12/2019,10:00 AM,6/12/2019,11:00 AM,Enjoy the company of other like-minded crafty folk as you begin work on a knitted or crocheted piece for our NAIDOC Week yarnbombing install,61330952,2046839277,11044946,119,https://www.eventbriteapi.com/v3/events/61011615384/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61330952%2F29101596107%2F1%2Foriginal.20190429-010355?h=200&w=450&auto=compress&rect=0%2C0%2C2160%2C1080&s=857179ced254bd545f001d3dbeb4486e
Sudoku Strategies with Jenny McNeice,"Meet Jenny McNeice - author of Sudoku strategiesJenny guides you through different levels of logic for solving sudoku, and translates this into easy-to-use strategies. Optimise your Sudoku game and then join us for a fun Sudoku workshop.",59862534452,https://www.eventbrite.com.au/e/sudoku-strategies-with-jenny-mcneice-tickets-59862534452?aff=ebapi,6/11/2019,2:00 PM,6/11/2019,3:30 PM,"Meet Jenny McNeice - author of Sudoku strategiesJenny guides you through different levels of logic for solving sudoku, and translates this i",59664982,3074435448,31895556,119,https://www.eventbriteapi.com/v3/events/59862534452/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F59664982%2F49100826570%2F1%2Foriginal.20190403-225002?h=200&w=450&auto=compress&rect=0%2C256%2C1024%2C512&s=c02920740ca32db73362c29d5f54c063
