name__text,description__text,id,url,Start date,Start time,End date,End time,summary,logo_id,organizer_id,venue_id,category_id,resource_uri,logo__url
Studio M Wednesday Evening Mandarin Speaking Preview - Studio M????????????,"Studio M is at the heart of our company mission - to provide excellence in customer experience. Studio M?????????? --- ????????????????. We offer you products, service and expertise to ensure your Metricon home is an expression of your individuality. ????????????, ??????????????????????Metricon????. Register for a Studio M preview to get a sneak peak of what?s on offer, the process and the productsÿthat will come together to help you create your dream home! ???Studio M???????,??????????????. ???????????????! Limited preview places available.ÿ ???????,?????.",54731121257,https://www.eventbrite.com.au/e/studio-m-wednesday-evening-mandarin-speaking-preview-studio-m-tickets-54731121257?aff=ebapi,5/08/2019,5:30 PM,5/8/2019,8:00 PM,Studio M is at the heart of our company mission - to provide excellence in customer experience. Studio M?????????? --- ????????????????. We,22788170,11050222863,16313921,117,https://www.eventbriteapi.com/v3/events/54731121257/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F22788170%2F181578988397%2F1%2Foriginal.jpg?h=200&w=450&auto=compress&rect=0%2C27%2C426%2C213&s=d35c8da838611eb66ed3aadf6787dd7b
Flower Care Workshop,"How often have you bought flowers from the supermarket or florist that look great for a day, maybe two, before they start to turn limp, the petals start to droop and within a few days they?re in the bin? There are a few simple ways for you to take care of your flowers so that they will stay looking fresh and alive for more than just a couple of days. Come along to this free workshop where you will learn: 1.ÿ Which flowers to pick. 2.ÿ How to prepare the flowers. 3.ÿ How to refresh your flowers and ensure a long vase life. 4.ÿ Which basic tools you can use to help you.  Spaces are limited so don't delay.  ",59424380923,https://www.eventbrite.com/e/flower-care-workshop-tickets-59424380923?aff=ebapi,5/8/2019,12:00 PM,5/8/2019,12:45 PM,"How often have you bought flowers from the supermarket or florist that look great for a day, maybe two, before they start to turn limp, the",59190213,19216747155,31202125,117,https://www.eventbriteapi.com/v3/events/59424380923/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F59190213%2F229205301119%2F1%2Foriginal.20190327-043146?h=200&w=450&auto=compress&rect=0%2C525%2C6308%2C3154&s=e17c2405e9db2e9ae4318ff58ef358d0
Comdain Homes Camberwell Display ? Saturday Private Viewing,"EXCLUSIVE, PRIVATE VIEWING You're invited to step inside the Urbane Forster from award winning custom builder, Comdain Homes for an exclusive, private viewing this weekend. Open times for the display isÿSaturday to Wednesday from 1pm to 5pm. Your private viewing will commence at 12pm Saturday.ÿ This home is a contemporary double storey, 36 square home designed for the typical 15.24 metre (50 ft) wide, inner Melbourne block thatÿfeatures Comdain?s signature look of using a balance of natural timber, brickwork and render on the external fa‡ade. Western Red Cedar paneling to the front entry immediately createsÿa sense of warmth and welcomes you into house. The use of large custom made Western Red Cedar double glazed windows give the house a bright, airy feel and also create interesting shadows on the crisp white walls. Central to the home is a spectacular double height glazed stairwell, flooding light into the middle of the home. The feature staircase, another point of difference with Comdain Homes, is constructed from American Oak and glass. Light, bright American Oak timber veneer has also been used in each bathroom and in the kitchen, where it has been cross cut, showcasing the beautiful grain, and ?pops? against the white Polytex Legato cupboards. Quality fittings have been used throughout the home, for example you?ll find a beautiful Caroma Contura basin in the family bathroom, offset with a stunning black Phoenix Rush mixer tap. Outside, integrated into the landscaped garden, there are pocket courtyards, including one accessed from the kitchen so you can enjoy the morning sun with your coffee. Limited private viewing places available.   DISPLAY HOME OPENING HOURSÿSaturday to Wednesday from 1pm to 5pm. ",59810089588,https://www.eventbrite.com.au/e/comdain-homes-camberwell-display-saturday-private-viewing-tickets-59810089588?aff=ebapi,5/12/2019,12:00 PM,5/12/2019,10:00 PM,"EXCLUSIVE, PRIVATE VIEWING You're invited to step inside the Urbane Forster from award winning custom builder, Comdain Homes for an exclusiv",40049158,17255559270,24473136,117,https://www.eventbriteapi.com/v3/events/59810089588/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F40049158%2F135440437615%2F1%2Foriginal.jpg?h=200&w=450&auto=compress&rect=0%2C0%2C2160%2C1080&s=20d03c1f60c77d372dd19f323a77219b
Comdain Homes Balwyn North Display ? Sunday Private Viewing,"EXCLUSIVE, PRIVATE VIEWING You're invited to step inside the Belle Vue, the very latest home from award winning custom builder, Comdain Homes, for an exclusive, private viewing this weekend.ÿOpen times for the display isÿSaturday to Wednesday from 1pm to 5pm. Your private viewing will commence at 12pm Sunday. This classical masterpiece provides plenty of space to breath, live, relax and entertain in a seamless three level family home. Showcasing the very latest innovations in smart technology and premium quality finishes and fixtures, our latest custom built home will certainly impress. Featuring a classic facade with grand formal entrance, the Belle Vue comprises three substantial living zones plus integrated outdoor entertaining areas. The double height ceiling above the living and dining areas creates a feeling of air and space, while the expansive use of glass floods these zones with plenty of natural light. Sliding doors to the alfresco dining area invite the outside in. The gourmet chef?s kitchen features European appliances, a stunning marble island bench and butler?s pantry. Belle Vue bathrooms are wonderfully stylish too ? they?re sleek, sophisticated spaces designed for pampering and indulgence. Raw and highly polished materials include stone tops on floating vanities, frameless open showers, handcrafted joinery, feature mirrors, quality tapware and luxury freestanding baths. Premium natural finishes include American Oakÿparquetry flooring which offsets the bold lines to create a luxurious warmthÿthroughout the living areas. A feature timber staircase and lift links the four-car garage and French inspired wine cellar to each of the upper levels. The sophisticated and immaculate quality of the Belle Vue is designed for you to experience the attention to detail and luxurious finishes of a custom built luxury Comdain Home. ÿÿ Limited private viewing places available.  DISPLAY HOME OPENING HOURS ÿSaturday to Wednesday from 1pm to 5pm.",59810035426,https://www.eventbrite.com.au/e/comdain-homes-balwyn-north-display-sunday-private-viewing-tickets-59810035426?aff=ebapi,5/12/2019,12:00 PM,5/12/2019,1:00 PM,"EXCLUSIVE, PRIVATE VIEWING You're invited to step inside the Belle Vue, the very latest home from award winning custom builder, Comdain Home",40048827,17255559270,27252312,117,https://www.eventbriteapi.com/v3/events/59810035426/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F40048827%2F135440437615%2F1%2Foriginal.jpg?h=200&w=450&auto=compress&rect=0%2C0%2C800%2C400&s=76dccf513735cf4254340c9aa4b9a96f
Living with less plastic and less waste,"Want to learn how you can easily swap out single use plastic, reduce your food waste and put less rubbish in your bin? Presenter Kirsty Fox-Bishops from Sustainable Pathways will share her simple tools for living a low waste live. Come and be surprised at what you change to live more sustainably and feel good playing your part in the war on waste. This event is primarity for residents of the City of Whittlesea.",59424402989,https://www.eventbrite.com.au/e/living-with-less-plastic-and-less-waste-tickets-59424402989?aff=ebapi,6/15/2019,2:00 PM,6/15/2019,3:30 PM,"Want to learn how you can easily swap out single use plastic, reduce your food waste and put less rubbish in your bin? Presenter Kirsty Fox-",59190242,11091772690,31151076,117,https://www.eventbriteapi.com/v3/events/59424402989/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F59190242%2F67425867169%2F1%2Foriginal.20190327-042939?h=200&w=450&auto=compress&rect=6%2C72%2C382%2C191&s=13da7a23c2a3d8a69c4630756081ee8e
Edible native plants for your garden,Meet the author of Australian Native Food Harvest!,59357686438,https://www.eventbrite.com.au/e/edible-native-plants-for-your-garden-tickets-59357686438?aff=ebapi,6/13/2019,7:00 PM,6/13/2019,8:00 PM,Meet the author of Australian Native Food Harvest!,59103966,5774470310,31120204,117,https://www.eventbriteapi.com/v3/events/59357686438/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F59103966%2F84064311664%2F1%2Foriginal.20190325-223220?h=200&w=450&auto=compress&rect=0%2C35%2C768%2C384&s=30313c5051a533ad09df8395cc825079
Saving Money on Your Energy Bills,"Are you a Banyule resident and noticed yourÿenergy bills are on the rise? It's never been a better time to look at how you can make your home more energy-efficient. Come along to this free information session to learn about simple ways you can reduce your energy bills and see whether solar and batteries might be right for your home. This information session will help you understand: - How to read your energy bill- How you can find the best tariff- The simple things that you can do to make your home more energy efficient- How solar works and can help you save money on your energy bills The session features practical and simple advice that will make your home more comfortable year-round, as well as save you money on your energy bills. If you have particular questions that you don't think will be covered off in the above, or if you want individual advice on how to read your bill pop along at 6pm for a quick chat. To book or for more information contact Positive Charge on 1300 23 68 55. Positive Charge is a program of the Moreland Energy Foundation and supported by City of Banyule.",55945438312,https://www.eventbrite.com.au/e/saving-money-on-your-energy-bills-tickets-55945438312?aff=ebapi,6/13/2019,6:30 PM,6/13/2019,8:00 PM,Are you a Banyule resident and noticed yourÿenergy bills are on the rise? It's never been a better time to look at how you can make your hom,56247798,11401889417,29348387,117,https://www.eventbriteapi.com/v3/events/55945438312/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F56247798%2F83441569773%2F1%2Foriginal.jpg?h=200&w=450&auto=compress&rect=0%2C99%2C620%2C310&s=5a040330e040523497267383bccd8487
Metricon Homes - Studio M Personalised 1 On 1 Preview,"Studio M is at the heart of our company mission - to provide excellence in customer experience. We offer you products, service and expertise to ensure your Metricon home is an expression of your individuality. Register for your personalised 1 on 1 ÿStudio M preview to get a sneak peak of what?s on offer, the process and the productsÿthat will come together to help you create your dream home! Limited preview places available.",60739479418,https://www.eventbrite.com.au/e/metricon-homes-studio-m-personalised-1-on-1-preview-tickets-60739479418?aff=ebapi,5/7/2019,9:30 AM,5/7/2019,11:00 AM,"Studio M is at the heart of our company mission - to provide excellence in customer experience. We offer you products, service and expertise",22789928,11050222863,16313921,117,https://www.eventbriteapi.com/v3/events/60739479418/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F22789928%2F181578988397%2F1%2Foriginal.jpg?h=200&w=450&auto=compress&rect=0%2C23%2C426%2C213&s=dec0df4d73f609323b83fac7e663df19
Gardening with native plants,Join Council?s Urban Biodiversity Officer to learn how you can use native plants in your garden and create habitat for wildlife in Hume.,59360582099,https://www.eventbrite.com.au/e/gardening-with-native-plants-tickets-59360582099?aff=ebapi,6/7/2019,11:00 AM,6/7/2019,12:30 PM,Join Council?s Urban Biodiversity Officer to learn how you can use native plants in your garden and create habitat for wildlife in Hume.,59117853,4269785735,31121593,117,https://www.eventbriteapi.com/v3/events/59360582099/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F59117853%2F65918216979%2F1%2Foriginal.20190326-041351?h=200&w=450&auto=compress&rect=0%2C1%2C506%2C253&s=ebfa92ec354d757202636b7b212e8ba5
DUAL OCCUPANCY,"Join us for some lightÿrefreshmentsÿat our:  ÿ  DUAL OCCUPANCY  Seminar & Workshop  ÿ    Seminar  Establishing a dual occupancy project budge to sell one (pre construction), to then build and live in other.  Lowe Design & Build  ÿ  Financial preparation and considerations.  Astute Financial  ÿ  ÿ  Workshop  There will be dedicated time to workshop with us, your site?s dual occupancy potential.  ÿ  ÿ    ÿ  Registration is essential as seats are limited.  ÿ    ÿ  Missed Out? Not a Worry.  Should this session be booked out, please feel free to contact us directly to arrange a one on one meeting regarding your residential requirements or to sign up early to next information seminar.",61409060152,https://www.eventbrite.com.au/e/dual-occupancy-tickets-61409060152?aff=ebapi,6/6/2019,6:00 PM,6/6/2019,8:30 PM,Join us for some lightÿrefreshmentsÿat our:  ÿ  DUAL OCCUPANCY  Seminar & Workshop  ÿ    Seminar  Establishing a dual occupancy project budg,61733206,13499569103,31901400,117,https://www.eventbriteapi.com/v3/events/61409060152/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61733206%2F209758718298%2F1%2Foriginal.20190506-010510?h=200&w=450&auto=compress&rect=0%2C0%2C2160%2C1080&s=360057d07c6ce58d37ebe8d456905ef3
