name__text,description__text,id,url,Start date,Start time,End date,End time,summary,logo_id,organizer_id,venue_id,category_id,resource_uri,logo__url
Iftar Feast at Asylum Seeker Resource Centre,"Join us to stand and show solidarity with our Muslim brothers and sisters to celebrate the holy month of Ramadan. ASRC will be hosting an Iftar, the˜evening meal with which Muslims end our daily Ramadan fast at sunset. It's a time of feasting, celebration and gratefulness.˜ CEO and Founder Kon Karapanagiotidis and Community Organiser Ahmad Hakim will be cooking and hosting the celebration.˜ DETAILS: Tuesday 4th of June at the ASRC in Footscray. To confirm your attendance, please RSVP no later than 25 May for catering.˜ We look forward to seeing you and enjoying a lovely feast together.",61015713642,https://www.eventbrite.com.au/e/iftar-feast-at-asylum-seeker-resource-centre-tickets-61015713642?aff=ebapi,6/4/2019,4:45 PM,6/4/2019,7:30 PM,Join us to stand and show solidarity with our Muslim brothers and sisters to celebrate the holy month of Ramadan. ASRC will be hosting an If,61336069,20124011861,31788704,113,https://www.eventbriteapi.com/v3/events/61015713642/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61336069%2F267408314276%2F1%2Foriginal.20190429-043312?h=200&w=450&auto=compress&rect=0%2C113%2C2666%2C1333&s=55a81d7d934a984afa807562c85a43c1
UMIS' Street Style Ift?r,"Assalamu Alaikum Everyone! UMIS' Annual Iftar is back, but with a twist. We're taking it to the streets, bringing you an unmissable Street Style Iftar˜like never before. Everyone is welcome! If you're an International student, from another University, just about to finish high school or anyone else - you're all invited! With FREE food, good company, and activities under a canopy of stars, what more could you want?˜ Make sure to come down to University Plaza at˜The University of Melbourne (Parkville) at 4:30 pm on˜Sunday the 26th of May˜to bond with your fellow Muslim brothers' and sisters' in this beautiful month of Ramadan.   FAQs  Where will Maghrib be prayed? We will be praying Maghrib at the event location.  Will there also be Taraw?h? We won't be praying Taraw?h at the event itself, however, it will be held at the Melbourne University Musallah (Corner of Pelham St and Leicester St ) after Ish?. The Musallah is approximately 5 minutes away from the venue by walk.  Do I have to bring my printed ticket to the event? No, a copy on your phone should suffice.  What are my transport/parking options for getting to and from the event? There are a lot of options! If you're planning on taking public transport, the closest train station is Melbourne Central, and the closest tram stop is Stop #1 (Melbourne University). If you're taking the tram from the station, take one from Swanson St that goes to Melbourne University. If you are planning on driving, since it will be a Sunday, there will be free parking available around campus, it'll just be a matter of finding a spot!    How can I donate to UMIS? Thanks for your support! You can donate to UMIS via our GoFundMe page (˜https://bit.ly/2PIr46p ) ˜ How can I contact the organiser with any questions? You can contact us via our Facebook page (linked below) or email us at contactumis@gmail.com.",61419739093,https://www.eventbrite.com.au/e/umis-street-style-iftar-tickets-61419739093?aff=ebapi,5/26/2019,4:30 PM,5/26/2019,7:30 PM,"Assalamu Alaikum Everyone! UMIS' Annual Iftar is back, but with a twist. We're taking it to the streets, bringing you an unmissable Street S",61746630,20178104880,32009399,114,https://www.eventbriteapi.com/v3/events/61419739093/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61746630%2F236287191753%2F1%2Foriginal.20190506-095329?h=200&w=450&auto=compress&rect=0%2C68%2C1920%2C960&s=fd65edb239b8280c0a39063c8c89906d
Understanding Islam - Presentation and Q&A,"Description    There are 1.8 billion Muslim people in the world! Many students at RMIT Training are Muslim and follow the Islamic faith. There's a lot of misunderstanding about Islam, and this fascinating presentation and Q&A aims to break down some of the barriers to understand more about Muslim people. Jessica Swann (pictured below) spent many years working in the middle east, and is currently the outreach manager of Benevolence Australia where her role is to enhance inclusion, social cohesion and ultimately facilitate greater productivity as a society.˜ The presentation will be followed by a Q&A session, with Jessica and a panel of RMIT Training students. They'll be answering the questions you asked at the ""GO ON, ASK!"" display on level 3. You can contribute to the discussion by submitting a question you've been dying to ask a Muslim person.˜ A selection of questions will be put to the panel for discussion.   ",61145037453,https://www.eventbrite.com.au/e/understanding-islam-presentation-and-qa-tickets-61145037453?aff=ebapi,5/22/2019,3:00 PM,5/22/2019,4:30 PM,Description    There are 1.8 billion Muslim people in the world! Many students at RMIT Training are Muslim and follow the Islamic faith. The,61485623,12198541215,32000261,110,https://www.eventbriteapi.com/v3/events/61145037453/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61485623%2F194541056145%2F1%2Foriginal.20190501-070830?h=200&w=450&auto=compress&rect=0%2C22%2C810%2C405&s=2779809204fc9657acdd3423509d2887
Justice and Protection for All,"Justice and Protection for All:˜Research & policy priorities for LGBTQI Communities presented by the RMIT Social & Global Studies Centre for the˜2019 International Day Against Homophobia,˜Biphobia, Intersexism & Transphobia (IDAHOBIT) On the eve of IDAHOBIT 2019, SGSC welcomes an incredible panel of speakers for our next seminar, Justice and Protection for All: Research & policy priorities for LGBTQI communities. We invite you to join us as Joe Ball (CEO, Switchboard), Brenda Appleton, OAM (Co-Chair, Victoria LGBTI Taskforce), Nur Warsame (Imam & welfare advocate for LGBTQI+ Muslims), and Angela Dwyer (Associate Professor, Police Studies, University of Tasmania) share their insights and vision for contemporary LGBTQI lives and social justice. Observed on May 17, IDAHOBIT aims to raise awareness of LGBTQI rights violations and promote the work of the people advocating for social justice for the community. Events are held on May 17 worldwide to raise the global awareness of violence, discrimination, and repression of LGBTQI communities, creating avenues for action and engagement with the media, policymakers, public opinion, and wider society. The violation of LGBTQI rights happens in a diverse range of social, religious, cultural, and political contexts. The events supporting IDAHOBIT offer an opportunity for global impact, as we gather to raise the visibility of these injustices.  Speakers Joe BallCEO, Switchboard  Joe Ball is the passionate CEO of Switchboard Victoria. Switchboard Victoria has been providing a community based and peer-lead LGBTIQA+ support service for the last 28 years. Joe?s earlier career was in the disability and housing and homelessness sector before working in management in the Australian Public Service. Joe has been leading Switchboard since December 2016. Joe believes in grassroots solutions to systematic problems.  Brenda AppletonCo-Chair, Victoria LGBTI Taskforce  Brenda˜retired in 2009 after 35 years working in the corporate sector and is now heavily involved volunteering with a wide range of community groups, including the LGBTI communities in Melbourne for more than 20 years.˜˜She is the Chair of TGV, co-chair of Victorian LGBTI Taskforce and a member of the Victorian Elder Abuse Roundtable.˜ Brenda is passionate about using her lived experience in an effort to improve the health and wellbeing of trans and gender diverse people across Victoria.˜˜ She was inducted into the Victorian Honour Roll of Women in 2017, received a Victorian Senior of the Year award in 2018 and was awarded an Order of Australia Medal (OAM) in the 2019 Australia Day Honours.  Nur WarsameImam & welfare advocate for LGBTQI+ Muslims  Nur has been active as an Imam in Australia since 2000 and is the founder of Marhaba Inc. an organization that focuses on the welfare of LGBTIQ+ Muslims. Nur also conducts workshops and talks to LGBT groups nationally and internationally.  Dr Angela DwyerAssociate Professor, Police Studies,˜University of Tasmania  Dr Angela Dwyer is an Associate Professor in Police Studies and Emergency Management, School of Social Sciences, University of Tasmania, and the Deputy Director of the Tasmanian Institute of Law Enforcement Studies. Angela conducts research on the intersection between sexuality, gender diversity, and criminal justice and is lead editor of Queering Criminology, edited with Matthew Ball and Thomas Crofts, and published with Palgrave.  Panel chair Prof. Katherine JohnsonDirector RMIT Social & Global Studies Centre  Katherine's research is in the field of gender, sexuality and mental health, with specialisms in critical community psychology and psychosocial studies, qualitative, participatory and visual research methods, and interdisciplinary research about LGBTQ lives. Her research collaborations and partnerships focus on improving the lives of LGBTQ+ people and have impacted on social policy and practice, particularly in the field of suicide prevention, mental health and end of life care.",60166970027,https://www.eventbrite.com.au/e/justice-and-protection-for-all-tickets-60166970027?aff=ebapi,5/16/2019,4:00 PM,5/16/2019,5:30 PM,Justice and Protection for All:˜Research & policy priorities for LGBTQI Communities presented by the RMIT Social & Global Studies Centre for,60106234,17288180028,31452999,113,https://www.eventbriteapi.com/v3/events/60166970027/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F60106234%2F177646851776%2F1%2Foriginal.20190410-015456?h=200&w=450&auto=compress&rect=0%2C0%2C2160%2C1080&s=22bcf9b7016b4908efc352923eaad091
Indonesia Tanpa Feminisme,"In mid-March 2019, Indonesian netizens and public was struck by the advent of an Instagram account with the account name: @Indonesiatanpafeminis (Indonesia without feminism). As controversial as the tagline is, this account states that ?my body is not mine, but rather Allah?s?.  The idea to regulate women?s body, and whose ownership is it, had indeed been stretched for centuries since the dawn of civilization. Religions and cultural groups around the world put women?s body as battleground because from women?s body, lie their future generations. In modern time, nevertheless, the idea of regulating women?s body and claiming ownership of women?s body are still deemed important. Debates around women and their place in society seem to be one of the most contested affairs in many societies around the world.  As the most populated Muslim country, debates in Indonesia is highly dominated by political Islamist groups, such as those who initiated the @Indonesiatanpafeminis account. Due to heavy emphasis on religious and cultural debates on women?s body, the issue of women?s sexuality and reproductive health remains half-heartedly managed in policy, as it is easily clashed with the conservative views on the role of women in public and/or private spheres. One of the battleground is RUU PKS (Rancangan Undang-undang Penghapusan Kekerasan Seksual ? Proposed Bill on the Elimination of Sexual Violence), where the debate is heavily framed in religious aspect instead. Meanwhile, some proxy indicators related to women reproductive health in Indonesia, such as maternal mortality, is still poor. Indonesia?s maternal mortality rate is the third worst in ASEAN after Myanmar and Lao PDR, at 190 per 100,000 live births. Lack of knowledge regarding their own body and sexuality or reproductive processes, leads to high cases of unwanted pregnancy and other harmful activity such as unsafe abortion that in the end, causing maternal death. In some culture and religions, the solution offered is early marriage (e.g. @Indonesia tanpa pacaran). In another cultural context, women have less voice even in deciding how many children they want, how they want to give birth or where: men and the big family decide for them.  We expect to discuss the issue of ?Indonesia tanpa feminisme?, from the perspective of feminism, religion and their influence in social and political realm of the country, as well as from the perspective of women?s sexuality and reproductive health situation in Indonesia. Speakers: 1. DR. Dina Afrianty Dina is a Research Fellow at La Trobe Law School, Melbourne. She writes a recent article titled ?Women and Islam in Contemporary Indonesia? and previously publishes numbers of articles and books on gender, Islam and politics in Indonesia. Dina will discuss the topic from the angle of Islam and feminism in Indonesia. 2. Yuni Asrianty Yuni is a member of Komnas Perempuan and currently pursuing her master?s degree in Gender and Development at the University of Melbourne. She will discuss the topic from the angle of Indonesian gender activism and the involvement of religious group supporters in public policy making pertaining to women and gender affairs. 3. A/Prof. Linda Bennett Linda is based at the Nossal Institute for Global Health, in the Melbourne School of Population and Global Health. Her recent article titled ?Contestations of Gender, Sexuality and Morality in Contemporary Indonesia? and her book titled: ?Seksualitas di Indonesia? give a picture about the entanglement of sexual health and perception of religion and morality in Indonesia. Linda will discuss the topic from the angle of sexuality and reproductive health in Indonesia.",61280879761,https://www.eventbrite.com.au/e/indonesia-tanpa-feminisme-tickets-61280879761?aff=ebapi,5/15/2019,5:30 PM,5/15/2019,8:30 PM,"In mid-March 2019, Indonesian netizens and public was struck by the advent of an Instagram account with the account name: @Indonesiatanpafem",61625768,16975000007,31941538,199,https://www.eventbriteapi.com/v3/events/61280879761/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61625768%2F247230232557%2F1%2Foriginal.20190503-044401?h=200&w=450&auto=compress&rect=0%2C81%2C640%2C320&s=4f56de634ae0b34ed0e80b31dcd3f782
Educational Leaders Iftar Dinner 2019,"Sirius College is a non-denominational independent school with over 2800 students, many from various Muslim backgrounds, in six campuses across Victoria. Sirius College organises an Iftar Dinner during the Muslim holy month of Ramadan for the education leaders. This will be an opportunity to experience the communal tradition as well as to augment further discussion with a network of Principals and community leaders. 2019 sees the return of National Careers Week.˜National Careers Week aims to celebrate careers, career development and to promote the economic, social and personal benefits of career development. 2019's˜Educational Leaders Iftar Dinner falls within National Careers Week, and so we will be celebrating the growth that school-based Career Development services are currently seeing in Victorian schooling, and asking a selection of student leaders about what they think schools are doing well/could do more of, to support their own individual career development - their career success is what we are helping them build the basics of during their schooling lives! Regardless of the sector we are from, whether we work in a government or non- government organisation, irrespective of age & gender, whether our students are in primary, secondary, co-ed, or from a migrant background, as the leaders of our schools and our communities we all have a common goal. That is to produce the best possible future for our generations. After all education can be defined as ?infinite pathways - one common goal?. All of us strive to provide pathways for our students so that they can be better, better than ? us! FAQs What should I wear? Smart casual dress is appropriate. Ladies, no heels please (to protect the venue floor). What are the parking options for getting to and from the event? Parking is available at the nearby Seabrook Reserve, approx. 150m from Eastmeadows Campus; see map below.  ",59682344499,https://www.eventbrite.com.au/e/educational-leaders-iftar-dinner-2019-tickets-59682344499?aff=ebapi,5/15/2019,5:00 PM,5/15/2019,7:00 PM,"Sirius College is a non-denominational independent school with over 2800 students, many from various Muslim backgrounds, in six campuses acr",59595286,7941551429,31274883,null,https://www.eventbriteapi.com/v3/events/59682344499/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F59595286%2F135729712463%2F1%2Foriginal.20190403-013534?h=200&w=450&auto=compress&rect=0%2C0%2C800%2C400&s=063045d7a51088511f5b68d8ee05910e
Keywords for India: Violence,"Keywords for India Public Lecture Series  About the talk Concerns about public order, communal violence and disobedience have been central to policing and public policies in India since the trauma of Partition in 1947. In this lecture, Professor Thomas Blom Hansen will highlight how ?public violence? ? demonstrations of anger and community strength ? have become ever more legitimate forms of political expression in modern India. The talk will focus on two forms of violence, both of which thrive amidst a flourishing electoral democracy.  First, ?communal violence?, especially pogroms, attacks and lynching, perpetrated by Hindus against Muslims, have dramatically accelerated in recent decades. Most of these pogroms have been orchestrated by Hindu nationalist organizations who have also decisively changed the public perception of communal violence and minorities in a more Hindu-majoritarian direction.  Second, Professor Hansen will focus on how ?ordinary violence? has become a routine element in public service delivery, neighbourhood conflicts and frustration with public officials. According to the National Crime Bureau in India in 2016, 80% of all serious public disturbances in the country belong to this category of ?ordinary violence, that results in the injury, arrest and imprisonment of hundreds of thousands each year in India. About the speaker Thomas Blom Hansen, Chair and Professor, Department of Anthropology, Stanford University. Thomas Hansen is the Reliance-Dhirubhai Ambani Professor in South Asian Studies and Professor in Anthropology. He is also the Director of Stanford?s Center for South Asia where he is charged with building a substantial new program. He has many and broad interests spanning South Asia and Southern Africa, several cities and multiple theoretical and disciplinary interests from political theory and continental philosophy to psychoanalysis, comparative religion and contemporary urbanism. Much of Professor Hansen?s fieldwork was done during the tumultuous and tense years in the beginning of the 1990s when conflicts between Hindu militants and Muslims defined national agendas and produced frequent violent clashes in the streets. Out of this work came two books: The Saffron Wave. Democracy and Hindu Nationalism in Modern India (Princeton 1999) which explores the larger phenomenon of Hindu nationalism in the light of the dynamics of India?s democratic experience, and Wages of Violence: Naming and Identity in Postcolonial Bombay (Princeton 2001) which explores the historical processes and contemporary conflicts that led to the rise of violent socioreligious conflict and the renaming of the city in 1995. During the last decade, Professor Hansen has pursued a detailed study of religious revival, racial conflict and transformation of domestic and intimate life from the 1950s to the present in a formerly Indian township in Durban, South Africa. This round of work has now resulted in a book entitled Melancholia of Freedom: Anxiety, Race and Everyday Life in a South African Township (Princeton University Press, 2012). In addition to these ethnographic engagements, Professor Hansen has pursued a number of theoretical interests in the anthropology of the state, sovereignty, violence and urban life. This has resulted in a range of co-edited volumes, and special issues of journals such as Critique of Anthropology and African Studies. He is currently working on a collection of theoretical and ethnographic essays provisionally entitled Public Passions and Modern Convictions.",57668399736,https://www.eventbrite.com.au/e/keywords-for-india-violence-tickets-57668399736?aff=ebapi,5/14/2019,6:00 PM,5/14/2019,7:00 PM,"Keywords for India Public Lecture Series  About the talk Concerns about public order, communal violence and disobedience have been central t",57650951,1170296127,31859370,112,https://www.eventbriteapi.com/v3/events/57668399736/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F57650951%2F15835790977%2F1%2Foriginal.20190301-011319?h=200&w=450&auto=compress&rect=0%2C0%2C4320%2C2160&s=186755c912f5026ae9e29626cf0595a7
Anger management: The ?injured majority? and the rise of Hindu nationalism,"Since U.N. Mukerji published his book ?Hindus ? a Dying Race? in 1909, demographic anxieties and the fear of ?Hindu weakness? have been driving forces in the making of Hindu nationalism in the 20th century. The Rashtriya Swayamsevak Sangh (RSS), the central organization in the Hindu nationalist movement, was set up in 1925 to ?defend? and unify Hindus across the subcontinent, and to impart discipline and physical courage to Hindu men in the face of a constant threat from Muslims.  These pre-independence sentiments of Hindu weakness, disunity and historical injury remain cornerstones in the contemporary Hindu nationalist movement in India that today dominate Indian politics and Indian society in unprecedented ways. Even at the current height of its power and influence, BJP and affiliates campaign relentlessly on the constant threats from Muslims: ?love jihad?, cow slaughter, ?anti-national? conspiracies, and military threats from Pakistan. This specter of constant threats is, in turn, deployed to justify ?Hindu anger? and the proliferation of vigilante violence against Muslims and other minorities, artists and critics of the BJP. This ubiquitous threat of violence that hangs over much of Indian society is probably the gravest threat to the future of Indian democracy. ˜   Thomas Blom Hansen is the Reliance-Dhirubhai Ambani Professor of Anthropology at Stanford University. He is the author of The Saffron Wave. Democracy and Hindu nationalism in modern India (Princeton University Press 1999); Wages of Violence. Naming and identity in postcolonial Bombay (Princeton University Press 2001) Melancholia of Freedom. Social Life in an Indian Township in South Africa. (Princeton University Press 2012).  ",61077903654,https://www.eventbrite.com.au/e/anger-management-the-injured-majority-and-the-rise-of-hindu-nationalism-tickets-61077903654?aff=ebapi,5/13/2019,5:00 PM,5/13/2019,6:30 PM,"Since U.N. Mukerji published his book ?Hindus ? a Dying Race? in 1909, demographic anxieties and the fear of ?Hindu weakness? have been driv",61397224,17389383528,28929340,114,https://www.eventbriteapi.com/v3/events/61077903654/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61397224%2F258617794378%2F1%2Foriginal.20190429-235610?h=200&w=450&auto=compress&rect=0%2C446%2C3392%2C1696&s=e605aa3098a44224b9358ffe941d968b
Malaysia Baru Anniversary & Buka Puasa Bersama SABM,"Dear friends  It?s coming up to the first anniversary of Malaysia Baru. The wave that enabled Malaysia Baru offered us hope at a time that what seemed impossible. It still gives us goosebumps to reflect back to the day Malaysia was reborn. A year later, we remain hopeful for the future of our nation. What has remained unchanged through all of this is our strong bond as a Malaysian community, which we hope never changes.˜  As the first anniversary of Malaysia Baru coincides with the Muslim fasting month, we would love to celebrate our unity as a Malaysian community, by inviting all of you to a potluck Buka Puasa dinner - what better way than to celebrate our diversity than through food.  As there is a maximum number of people the venue can accommodate, registration is required to confirm your attendance. Please register to attend.˜Please register yourself and your guests. If you do not register yourself and/or your guests, unfortunately due to venue restrictions, you and/or your guests may not be able to participate. So if attending, please register.   As a general guide, with the potluck, please bring a dish that will be enough for yourself and your guests and two others. This way there?ll be more of each dish for everyone to taste.  If you or your guests have specific dietary requirements or allergies, please bring a dish suitable dish for yourself as we will not be able to assure that the dishes are allergen free due to the nature of potlucks.  Please also note that this will be an alcohol free event.",60614345138,https://www.eventbrite.com.au/e/malaysia-baru-anniversary-buka-puasa-bersama-sabm-tickets-60614345138?aff=ebapi,5/11/2019,5:30 PM,5/11/2019,8:30 PM,Dear friends  It?s coming up to the first anniversary of Malaysia Baru. The wave that enabled Malaysia Baru offered us hope at a time that w,null,20056580120,31636325,113,https://www.eventbriteapi.com/v3/events/60614345138/,
Copy of Malaysia Baru Anniversary & Buka Puasa Bersama SABM,"Dear friends  It?s coming up to the first anniversary of Malaysia Baru. The wave that enabled Malaysia Baru offered us hope at a time that what seemed impossible. It still gives us goosebumps to reflect back to the day Malaysia was reborn. A year later, we remain hopeful for the future of our nation. What has remained unchanged through all of this is our strong bond as a Malaysian community, which we hope never changes.˜  As the first anniversary of Malaysia Baru coincides with the Muslim fasting month, we would love to celebrate our unity as a Malaysian community, by inviting all of you to a potluck Buka Puasa dinner - what better way than to celebrate our diversity than through food.  As there is a maximum number of people the venue can accommodate, registration is required to confirm your attendance. Please register to attend.˜Please register yourself and your guests. If you do not register yourself and/or your guests, unfortunately due to venue restrictions, you and/or your guests may not be able to participate. So if attending, please register.   As a general guide, with the potluck, please bring a dish that will be enough for yourself and your guests and two others. This way there?ll be more of each dish for everyone to taste.  If you or your guests have specific dietary requirements or allergies, please bring a dish suitable dish for yourself as we will not be able to assure that the dishes are allergen free due to the nature of potlucks.  Please also note that this will be an alcohol free event.",60614352159,https://www.eventbrite.com.au/e/copy-of-malaysia-baru-anniversary-buka-puasa-bersama-sabm-tickets-60614352159?aff=ebapi,5/11/2019,5:30 PM,5/11/2019,8:30 PM,Dear friends  It?s coming up to the first anniversary of Malaysia Baru. The wave that enabled Malaysia Baru offered us hope at a time that w,null,20056580120,31636332,113,https://www.eventbriteapi.com/v3/events/60614352159/,
