name__text,description__text,id,url,Start date,Start time,End date,End time,summary,logo_id,organizer_id,venue_id,category_id,resource_uri,logo__url
Recruiting and Retaining Volunteers,FREE training offering  advice on how to recruit and retain volunteers.,57064636865,https://www.eventbrite.com.au/e/recruiting-and-retaining-volunteers-tickets-57064636865?aff=ebapi,6/19/2019,6:30 PM,6/19/2019,8:30 PM,FREE training offering  advice on how to recruit and retain volunteers.,57170629,18923565147,31539751,113,https://www.eventbriteapi.com/v3/events/57064636865/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F57170629%2F293812324545%2F1%2Foriginal.20190221-033233?h=200&w=450&auto=compress&rect=0%2C0%2C626%2C313&s=1ab9102e79b25c8d1d9ea14154bccddd
Melbourne Free Walking Tour,"  Join our tour guides for a walk through Australia?s culture capital and learn what makes this city great and so much more.   Our guides believe that walking tours should be available to everyone ? regardless of your budget. This free tour of Melbourne to provide an excellent introduction to the city, and our guides accept tips at the end of the tour. Explore Melbourne with a local who can share the history of the city as well as point out things to do after your walking tour is done. Walks 101 tour guides want to show you the real Melbourne ? the city we know and love. The tour concludes near the Old Melbourne Gaol, where you learn about Australia?s most infamous bush ranger. After your tour is finished, your guide brings the group to a classic Australian pub where you can experience traditional Aussie food.   FAQs ÿ Is it really free? Absolutely. Our guides will never pressure you to give money at the end. That said, you will be given an opportunity to pay your guide what you felt the tour was worth. Our guides are not volunteers ? they make their living from giving free walking tours. As a result, our guides areÿvery motivated to give you the best tour you've ever experienced. What are my transportation/parking options for getting to and from the event? We strongly recommend public transportation, as city parking spaces are limited, and all nearby spaces have a time limit that is shorter than our tour. Do I have to bring my printed ticket to the event? Nope ? just have it ready on your phone.ÿ What if I'm running late? Each of our tours is custom tailored to the group, the guide, and the weather. As a result, it can be very difficult to locate the guide ? especially because our guides are instructed to silence their phones during the tour. Please arrive on time, and if you are late, don't worry ? we run multiple tours every day ? just catch the next one! Where will the tour end? Our tour concludes at Captain Melville pub, where our guests get an exclusive discount if they order a meal.",58956442306,https://www.eventbrite.com.au/e/melbourne-free-walking-tour-tickets-58956442306?aff=ebapi,5/7/2019,11:00 AM,5/7/2019,5:30 PM,  Join our tour guides for a walk through Australia?s culture capital and learn what makes this city great and so much more.   Our guides be,55455727,17297025516,28933495,109,https://www.eventbriteapi.com/v3/events/58956442306/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F55455727%2F205897634590%2F1%2Foriginal.20190121-120115?h=200&w=450&auto=compress&rect=0%2C223%2C1618%2C809&s=92bd62e10870e0f13846dfcccb1a10c1
Mental Health Foundation - Volunteer Program," Mental Health Foundation Australia is looking for volunteers to be involed in various positions within the organisation.ÿ Roles available in MHFA for volunteer program are: Project Cooridnator Reception Admin Social Media Specialist Community Education Seminar Series Mental Health Month Project Worker Gratn submission Writer If you are an enthusiastic person and looking for opportunities to serve the community, please contact us on 03 9826 1422 or email at admin@mhfa.org.au ",58761687790,https://www.eventbrite.com.au/e/mental-health-foundation-volunteer-program-tickets-58761687790?aff=ebapi,5/7/2019,9:00 AM,5/7/2019,5:00 PM, Mental Health Foundation Australia is looking for volunteers to be involed in various positions within the organisation.ÿ Roles available i,58450143,14842613059,30015968,113,https://www.eventbriteapi.com/v3/events/58761687790/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F58450143%2F29519680353%2F1%2Foriginal.20190313-233059?h=200&w=450&auto=compress&rect=0%2C30%2C1090%2C545&s=5edc9ece9d37bcd7544672af573a8ff8
Community Morning Tea @ Kathleen Syme Community Centre,"Community Morning Tea at Kathleen Syme Community Centre Third Monday of the month 10.30am - 11.30am in the Level 1 Common Lounge Join us for a good old fashioned all-inÿcommunity get together over a cup of tea (or coffee!), fruit platter, delicious savoury and sweet treats ....and yes there will be scones with jam and cream! LIVE MUSIC.... Weÿÿare delighted to announce local ukulele groupÿThe Flukesÿare now our resident band. Yay!!ÿEstablished in 2016 The Flukes play for audience participation and celebrate the singer and musician within every one of us. Creating a campfire sing-a-long spirit playing classic tunes, from The Tide is Highÿto Stand By Me, from Love Really Hurts to Better be Home Soon. Ifÿyou would like to volunteer setting up and packing up at the event please contactÿthe centre's Community Animator on 9658 7310 or email kathleensymecentre@melbourne.vic.gov.au No need to register just invite your family, friends and neighbours and come along!",54958787212,https://www.eventbrite.com.au/e/community-morning-tea-kathleen-syme-community-centre-tickets-54958787212?aff=ebapi,5/20/2019,10:30 AM,5/20/2019,11:30 AM,Community Morning Tea at Kathleen Syme Community Centre Third Monday of the month 10.30am - 11.30am in the Level 1 Common Lounge Join us for,41038352,10963081111,20311921,113,https://www.eventbriteapi.com/v3/events/54958787212/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41038352%2F47055421261%2F1%2Foriginal.jpg?h=200&w=450&auto=compress&rect=0%2C72%2C700%2C350&s=e312be6bf2f0cb4f4781735654ca199d
Seeing Eye Dogs Puppy Carer Info Session: Kensington June 15,"Could you care for a future Seeing Eye Dog in 2019? Be sure you attend and get all the info you need.The puppy caring program requires volunteers to care for a puppy in their home from the age of 8 weeks, until they are approximately 12-15 months of age.Full time carers are needed however if a shorter time is more suitable and you can commit to a minimum of 6 months, this may be the option for you.If you become a puppy carer, you will be given support and guidance from the Seeing Eye Dogs team who will spend time with you to assess your needs to determine the best caring option to suit your lifestyle.ÿAt our information evening you will find out how rewarding it is to become a puppy carer.ÿHear personal accounts from people who are blind or have low vision, and how their Seeing Eye Dog has improved their independence.Discover how you can help make a difference.Register your interest to attend a Puppy & Foster Carer Information session atÿhttp://bit.ly/sedpuppycarersÿIf you have any questions, please email: SEDvolunteer@visionaustralia.org",55877457981,https://www.eventbrite.com.au/e/seeing-eye-dogs-puppy-carer-info-session-kensington-june-15-tickets-55877457981?aff=ebapi,6/15/2019,12:00 PM,6/15/2019,1:00 PM,Could you care for a future Seeing Eye Dog in 2019? Be sure you attend and get all the info you need.The puppy caring program requires volun,56181293,15240500913,27817122,111,https://www.eventbriteapi.com/v3/events/55877457981/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F56181293%2F228350260440%2F1%2Foriginal.20190203-233901?h=200&w=450&auto=compress&rect=0%2C0%2C1244%2C622&s=6a27d12ee352a2bc7068484d674dc0bd
Volunteer Tutor Scheme Training - Prahran Saturdays + Online Training,"  ÿ  Volunteer Tutor Training prepares you to support a student for one hour per week to learn English.  Topics will include:    Teaching strategies and techniques  Lesson planning  Working with people from diverse cultural backgrounds    As well as other relevant information. You will completeÿ7 hours of training online prior to attending two Saturdays of face-to-face training.  The training is fun, interactive and informative, with experienced an EAL teacher to guide you.  Please ensure you attend an Information Session prior to commencing this training,ÿas this will allow us to arrange access for your online training component.  The Prahran Saturday face-to-faceÿtraining will be held from 9am - 1:00pm on two Saturdays 15/6/19ÿANDÿ22/6/19.  All online training component + the two Saturday face-to-face training must be attended to complete the training.",60037791651,https://www.eventbrite.com.au/e/volunteer-tutor-scheme-training-prahran-saturdays-online-training-tickets-60037791651?aff=ebapi,6/15/2019,9:00 AM,6/22/2019,1:00 PM,  ÿ  Volunteer Tutor Training prepares you to support a student for one hour per week to learn English.  Topics will include:    Teaching s,59920878,19971506746,31398043,113,https://www.eventbriteapi.com/v3/events/60037791651/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F59920878%2F213938349337%2F1%2Foriginal.20190408-031649?h=200&w=450&auto=compress&rect=26%2C0%2C210%2C105&s=65153e2fb9ab53c7dc27f78cedc88765
Bachelor of Arts course and career information session,"Open up a world of career options by studying a Bachelor of Arts ÿ This information session will give you an overview of Deakin?s Bachelor of Arts. Learn about our 30+ study disciplines available and how Deakin?s course allow you to tailor your studies to suit your interests and career aspirations.  ÿ Gain further insight into the endless opportunities to intern, travel overseas, mentor and volunteer,ÿall while studying and building your experience and skillset ready for a successful career.  ÿ Discover the benefits of pairing a Bachelor of Arts as a double degree.  A Criminology information session will follow directly after the Bachelor of Arts information session from 6:00-6.30pm. We encourage you to register for this session, if this study area also interests you. We look forward to welcoming you to Deakin. ",60252413591,https://www.eventbrite.com.au/e/bachelor-of-arts-course-and-career-information-session-tickets-60252413591?aff=ebapi,6/13/2019,5:30 PM,6/13/2019,6:00 PM,Open up a world of career options by studying a Bachelor of Arts ÿ This information session will give you an overview of Deakin?s Bachelor o,60201707,17216256060,31480312,120,https://www.eventbriteapi.com/v3/events/60252413591/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F60201707%2F250318476996%2F1%2Foriginal.20190411-113044?h=200&w=450&auto=compress&rect=0%2C0%2C2160%2C1080&s=48d5e9a1dd0a9dd62ac0074a3f8da7ed
ACS Victoria CoderDojo (Southbank),"CoderDojo sessions are set up and run by technically skilled volunteers with relevant teaching and computer programming experience. The sessions are designed to be informal and fun for children where they are encouraged to help and teach one another, aiding them to become confident in learning their new computer skills.The ACS Southbank sessions for Term 2 of 2019 will run fortnightly from 4.30-6.00pm starting Thursday 2 May at the ACS Victoria office. There are only 20 spots available, so advance bookings are required. It is advised that all attendeesÿmust bring along a laptop, tablet or smart phone with Wi-Fi accessÿand that parents must be present for the entire session. It is also advised that families are informed prior that photographs or video footage may be taken during these sessions for promotional purposes. If you would like to learn more about the CoderDojo program, you can find out more information on the CoderDojo website -ÿhttps://coderdojo.com/start-a-dojo/ For more information please contactÿacsvic@acs.org.au",60445331614,https://www.eventbrite.com.au/e/acs-victoria-coderdojo-southbank-tickets-60445331614?aff=ebapi,5/16/2019,4:30 PM,5/16/2019,6:00 PM,CoderDojo sessions are set up and run by technically skilled volunteers with relevant teaching and computer programming experience. The sess,60435243,11074896377,31563635,102,https://www.eventbriteapi.com/v3/events/60445331614/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F60435243%2F159868846808%2F1%2Foriginal.20190416-010516?h=200&w=450&auto=compress&rect=0%2C27%2C846%2C423&s=9e1f75a5645481631f2cdf71eec0f78a
Information Session: Learning about BPD for Families & Friends,"*Please note thisÿinformation sessionÿis designed for carers ie families and friends of people with Borderline Personality Disorderÿ(BPD) - not workersÿ This evening information session for families, friends and significant others who support someone withÿ(or a likely diagnosis of BPD)ÿwill assist participants to develop an understanding of BPD and how to access information around supports and resources in a supportive, safe environment amongst other carers.ÿ NB - This is a general information session.ÿ For more in depth educational and practical approaches to learning new skills and ways to support your family/friend with BPD you may wish to consider our full day Workshop: Learning more about BPD. All attendees will be invited to participate in a study to evaluate the effectiveness of the workshops. This will involve answering some questions about your knowledge of BPD and the impact of your caring role on your own well-being. Further information about this will be sent to prior to the workshop. Research participation is entirely voluntary. However information gained will be helpful for Spectrum to potentially influence health management, clinical practice and policy to adapt personality disorder services to address the specific needs of the community. Presenters Rita Brownÿis the Carer Consultant for Spectrum and provides a lived experience of supporting/caring for someone with BPD at a number of Spectrum?s workshops. Rita is a volunteer and board member of the Australian BPD Foundation and a co-facilitator of the Mind Australia BPD Family and Carer Support Group. Rita will be supported byÿa senior Spectrum clinician. Who should register?ÿÿFamily and friends of people withÿ(or a likely diagnosis of)ÿborderline personality disorder. Cost:ÿFree Tea and coffeeÿwill be provided.ÿ Public Transport:ÿEasily accessible via public transport.ÿ Limited streetÿparking.ÿ Please take note of any Permit Parking applicable after 5pm. General enquiries:ÿSpectrum (03) 8833 3050 or email spectrumtraining@easternhealth.org.au NB Spectrum provides training to clinicians and workers through it's Professional Development Team.ÿ To download a copy of available training clickÿhere",54684807732,https://www.eventbrite.com.au/e/information-session-learning-about-bpd-for-families-friends-tickets-54684807732?aff=ebapi,6/12/2019,6:30 PM,6/12/2019,9:00 PM,*Please note thisÿinformation sessionÿis designed for carers ie families and friends of people with Borderline Personality Disorderÿ(BPD) -,54905668,12815647934,25733973,107,https://www.eventbriteapi.com/v3/events/54684807732/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F54905668%2F201510962337%2F1%2Foriginal.20190110-033024?h=200&w=450&auto=compress&rect=0%2C28%2C430%2C215&s=afe0fbcc60759932d5579dae10cbb491
International Students Volunteering Victoria Session," The benefits of volunteering:    HappinessÿVolunteers are happier, healthier and sleep better than those who don?t volunteer. HealthÿSustained volunteering is associated with better mental health. CommunityÿThe experience of helping others provides meaning, a sense of self-worth and inclusion. Skill buildingÿDid you know over 85% of HR Managers look for volunteering on CVs? Learn new skills and get ahead in the job market.    ",58034240977,https://www.eventbrite.com.au/e/international-students-volunteering-victoria-session-tickets-58034240977?aff=ebapi,5/15/2019,2:30 PM,5/15/2019,4:00 PM," The benefits of volunteering:    HappinessÿVolunteers are happier, healthier and sleep better than those who don?t volunteer. HealthÿSustai",57243887,8170668097,27646676,199,https://www.eventbriteapi.com/v3/events/58034240977/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F57243887%2F128416209815%2F1%2Foriginal.20190206-052603?h=200&w=450&auto=compress&rect=84%2C0%2C810%2C405&s=0663f95c6772ee98d014ed6df5142a39
